Organization Name,Organization Name URL,Estimated Revenue Range,IPO Status,Operating Status,Acquisition Status,Company Type,Number of Employees,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
Intel,https://www.crunchbase.com/organization/intel,$10B+,Public,Active,Made Acquisitions,For Profit,10001+,"Intel is building on its unrivaled history of innovation to power the future of computing and communications. Intel's ambitions? A world that runs on Intel. Intel is doing this by helping its customers find the technologies and solutions that allow them to transform their businesses and gain market advantage. And it all starts with data. Intel is on a journey from a PC-centric company to a data-centric company. Intel's unmatched depth of experience and scope of vision allows it to dream big, to create a world where Intel powers the future of computing and communications—including powerful processors and accelerators that unlock the full potential of data. Intel continuously delivers advances in performance, power, and connectivity across a diversity of data-centric workloads, so its customers can harness the raw power of data. Intel's innovations span architecture, memory, software, and security to help develop transformative products and experiences for its customers. Collectively, Intel's 107,000 employees worldwide are enabling amazing experiences in 5G, artificial intelligence, driverless cars, and much more.","Artificial Intelligence (AI), Hardware, Information Technology, Product Design, Semiconductor, Software","Santa Clara, California, United States","Intel designs, manufactures and sells computer components and related products for business and consumer markets.","2,600"
Everseen,https://www.crunchbase.com/organization/everseen,$1B to $10B,Private,Active,,For Profit,1001-5000,"The retailers trust and rely on Everseen's Visual AITM solutions to improve their bottom line by minimizing shrink, streamlining operations, and helping to deliver a better customer experience. As technology innovators, their classes in AI and computer vision deliver unmatched value on a global scale. Whether it's at checkout lanes, in aisles, or at the receiving door, Everseen helps retailers see the unseen.","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning","Cork, Cork, Ireland",Everseen provides visual AI solutions to improve retail business processes and prevent theft.,"2,705"
Arthur,https://www.crunchbase.com/organization/arthur-ai,$1B to $10B,Private,Active,,For Profit,Nov-50,"Arthur is a platform that monitors the productivity of machine learning models. Arthur partners with the leading companies in industries such as financial services, insurance, and healthcare to develop and deploy enterprise-grade AI systems. The company was founded in 2018 and based in New York City.","Artificial Intelligence (AI), Financial Services, Machine Learning, Software","New York, New York, United States","Arthur is a platform that monitors, measures, and improves the performance of machine learning models.","2,913"
VulnCheck,https://www.crunchbase.com/organization/vulncheck,$1B to $10B,Private,Active,,For Profit,Nov-50,"VulnCheck is a cyber threat intelligence platform that provides exploit and vulnerability intelligence directly into the tools, processes, programs, and systems that need it to outpace adversaries. Its platform uses vulnerability intelligence that predicts avenues of attack with speed and accuracy and prioritizes vulnerabilities that matter based on the threat landscape to help businesses take quick action before an attack.","Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security","Lexington, Massachusetts, United States",VulnCheck is a cyber Intelligence platform that delivers threat intelligence services to government organizations and cybersecurity vendors.,"3,232"
XP Health,https://www.crunchbase.com/organization/xp-health,$1B to $10B,Private,Active,,For Profit,51-100,"XP Health is a health tech startup introducing a new kind of vision benefit for employees leveraging machine learning. Founded in 2019 by Antonio Moraes and James Wong, XP Health is an AI-powered vision benefits platform for employees and their families to get frames from the world’s leading designers like Tom Ford, Ray-Ban, Armani, Gucci, Coach. Its proprietary deep learning model uses facial recognition technology that recommends the best frames based on facial dimensions with 98% accuracy. The company is working with companies like Chegg, Zenefits, and Sequoia Consulting Group.","Artificial Intelligence (AI), Employee Benefits, Health Care, Machine Learning","San Carlos, California, United States",XP Health is an artificial intelligence-powered vision benefits platform for employees.,"3,442"
Reality Defender,https://www.crunchbase.com/organization/reality-defender,$1B to $10B,Private,Active,,For Profit,Nov-50,"Reality Defender develops a detection platform to identify and assess risks associated with false media content. Using synthetic media detection algorithms in real-time, the platform points out manipulated contents that help enterprise and government clients effectively combat synthetically altered images, videos, audio phone calls, and documents. Reality Defender was founded in 2021 and is headquartered in New York.","Artificial Intelligence (AI), Identity Management, Network Security","New York, New York, United States",Reality Defender develops a detection platform to identify and assess risks associated with false media content.,"3,519"
Personal AI,https://www.crunchbase.com/organization/personalai,$1B to $10B,Private,Active,,For Profit,Nov-50,"Personal AI enables organizations to create, train, and orchestrate AI teammates with deep proprietary knowledge, delivering 10x productivity gains at 1/10th of the cost. Each AI team member is based on a Persona with a specific function, deep proprietary knowledge in their area, and agentic capabilities for end-to-end AI workflows.",Artificial Intelligence (AI),"New York, New York, United States",The first no-code platform enabling businesses to rapidly train and deploy specialized AI teams.,"3,655"
Qualcomm,https://www.crunchbase.com/organization/qualcomm,$10B+,Public,Active,Made Acquisitions,For Profit,10001+,"Qualcomm is an American fabless semiconductor company that designs, manufactures, and markets digital wireless telecommunications products and services. It produces processors and connectivity solutions, displays, software, and charging products. The company is focused on various industries: automotive, education, healthcare, Internet of Everything, mobile computing, networking, smart cities, smart homes, and wearables. Qualcomm’s products include Gobi, Hy-Fi, IPQ, IZat, Powerline, Snapdragon, Small Cells, VIVE, Wi-Fi platforms, Mirasol, Pixtronix, AllPlay, 2net, Brew, HealthyCircles, QChat, QLearn, RaptorQ, Vuforia, Halo, and WiPower.","Artificial Intelligence (AI), Generative AI, Software, Telecommunications, Wireless","San Diego, California, United States","Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","3,747"
Healx,https://www.crunchbase.com/organization/healx,$1B to $10B,Private,Active,,For Profit,101-250,"Healx is a rare disease biotechnology company that uses generative AI for drug discovery. Healx utilizes advanced artificial intelligence (AI) and machine learning technologies to identify potential drug candidates and repurpose existing drugs for new therapeutic applications. By focusing on drug repurposing, Healx aims to find new uses for existing medications, leveraging their known safety profiles and reducing the risk and cost associated with developing new drugs from scratch.","Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Life Science, Medical","Cambridge, Cambridgeshire, United Kingdom",Healx is a rare disease biotechnology company that uses generative AI for drug discovery.,"3,830"
Meta,https://www.crunchbase.com/organization/facebook,$10B+,Public,Active,Made Acquisitions,For Profit,10001+,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.  Previously known as Facebook, Mark Zuckerberg announced the company rebrand to Meta on October 28, 2021 at the company's annual Connect Conference. Facebook was founded by Mark Zuckerberg in Menlo Park, California in 2004. With millions of more users, [Friendster] attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners] at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo-sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners] and [Meritech Capital] as well as previous investors [Accel Partners] and [Peter Thiel]. The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally, in September 2006, Facebook was opened to anyone with an email address. Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ] with shares trading at $42.05. Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo-sharing site with 250 million photos uploaded per day. The company has a strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere. Facebook is currently the owner of many applications and services such as Pagemodo Pagebuilder, [RSS Graffiti], Huddle, and more. It is the world’s largest social network with over 1.32 billion monthly active users.","Artificial Intelligence (AI), Augmented Reality, Metaverse, Social Media, Social Network, Virtual Reality","Menlo Park, California, United States","Meta is a social technology company that enables people to connect, find communities, and grow businesses.","3,835"
Cohesity,https://www.crunchbase.com/organization/cohesity,$1B to $10B,Private,Active,Made Acquisitions,For Profit,1001-5000,"Cohesity is a data management technology company that provides hyper-converged secondary storage solutions for backups, file services, and analytics. With the Cohesity Data Cloud, organizations can secure, manage, and recover data at an enterprise scale while gaining insights through AI capabilities.","Analytics, Artificial Intelligence (AI), Cloud Computing, Cyber Security, Data Center, Data Storage, Information Technology","San Jose, California, United States","Cohesity is a data management technology firm that offers hyper-converged secondary storage solutions for backups, files, and analytics.","3,992"
